as_of,use_name,site_id,state,city,region,basecamp_mentor,no_of_grades,type_of_school,map_name,tableau_email,lowest_grade_in_basecamp,highest_grade_in_basecamp,district_id,district_use_name,district_tableau_email,el_population,el_category,frl_population,frl_category,sped_population,sped_category,alternative_school,partner_tableau_email,id,still_in_program,zip_code,cohort_number,deprecated_glt_cohort_3,deprecated_itu
2017-05-01,Sullivan Middle School,132,TX,Pasadena,Gulf Region,Jared,2,Public District,"",kcook@pasadenaisd.org,5,6,38,Pasadena Independent School District,connect@pisdmail.org,53,Very High,92,High,9,"",false,"",95,true,77502,2,,
2017-05-01,Talent Unbound,83,TX,Houston,Gulf Region,Susan,1,Private,"","",,,59,International Association Of Learner-Driven Schools,"",,"",,"",,"",false,"",145,false,"",,,
2017-05-01,Tevis Junior High,89,CA,Bakersfield,SoCal/AZ/Central Cal,Arelys,1,Public District,"",jfetters@pbvusd.k12.ca.us,7,7,63,Panama-Buena Vista Union School District,"",7,"",50,"",10,"",false,"",61,true,93311,2,,
2017-05-01,The Lab Learning Space,380,CA,Duarte,SoCal/AZ/Central Cal,Arelys,3,Public Charter,"",michelle.tubbs@ivalongbeach.org,6,8,124,The Lab Learning Space,"",,"",,"",,"",false,"",135,true,90041,2,,
2017-05-01,Thomas Russell Middle School,95,CA,Milpitas,NorCal,Samia,2,Public District,"",djames@musd.org,7,8,21,Milpitas Unified School District,gbarnes@musd.org,12,High,28,"",8,"",false,"",65,true,95131,2,,
2017-05-01,Thompson Intermediate,21,TX,Houston,Gulf Region,Jared,2,Public District,"",meallen@pisdmail.org,7,8,38,Pasadena Independent School District,connect@pisdmail.org,,"",,"",,"",false,"",10,true,77034,1,,
2017-05-01,Thrival Academy: Oakland,100,CA,Oakland,NorCal,Samia,1,Other,"",emma@thrivalacademies.org,11,11,18,Oakland Unified School District,"",30,High,71,High,10,"",false,"",69,true,94607,2,,
2017-05-01,Thrive - 54th Campus,604,CA,San Diego ,SoCal/AZ/Central Cal,Arelys,2,Public Charter,"",tbatista@thriveps.org,5,6,79,Thrive Public Schools,"",,"",,"",,"",false,"",137,false,"",,,
2017-05-01,Thrive - Kroc Campus,116,CA,San Diego ,SoCal/AZ/Central Cal,Arelys,3,Public Charter,"",tbatista@thriveps.org,7,9,79,Thrive Public Schools,"",15,High,50,"",10,"",false,"",83,true,92104,2,,
2017-05-01,Toro Canyon Middle School,171,CA,Thermal,SoCal/AZ/Central Cal,Arelys,2,Public District,"",roguerrero@cvusd.us,7,7,111,Coachella Valley Unified School District,cvusdplp@cvusd.us,47,Very High,100,High,14,High,false,"",124,true,92253,2,,
2017-05-01,Trigg County High School,109,KY,Cadiz,Mid-South,Susan,4,Public District,"",shannon.burcham@trigg.kyschools.us,9,12,34,Trigg County Public Schools,mary.jones@trigg.kyschools.us,0,"",52,"",11,"",false,"",77,true,42038,2,,
2017-05-01,Trigg County Middle School,55,KY,Cadiz,Mid-South,Susan,1,Public District,"",amy.breckel@trigg.kyschools.us,6,6,34,Trigg County Public Schools,mary.jones@trigg.kyschools.us,0,"",61,"",11,"",false,"",29,true,42211,2,,
2017-05-01,Truesdell Education Campus,25,DC,Washington,Mid-Atlantic,Angela,3,Public District,"",adam.zimmermann@dc.gov,6,8,6,DC Public Schools,"",,"",,"",,"",false,"",14,true,20011,1,,
2017-05-01,Upper Perkiomen High School,165,PA,Pennsburg,NY/NJ/PA,Anji,4,Public District,"",astephens@upsd.org,9,12,114,Upper Perkiomen SD,"",,"",,"",,"",false,"",118,false,18073,2,,
2017-05-01,Urban Collaborative Accelerated Program,59,RI,Providence,New England,Laura,2,Public District,"",carolynt@ucap.org,8,9,40,Urban Collaborative,"",12,High,92,High,17,High,true,dstone@mayoralacademies.org,33,true,2908,2,,
2017-05-01,Urban Promise Academy,27,CA,Oakland,NorCal,Samia,2,Public District,"",claire.fisher@ousd.org,6,7,18,Oakland Unified School District,kyleigh.nevis@ousd.org,,"",,"",,"",false,"",15,true,94601,1,,
2017-05-01,Venture Academies,28,MN,Minneapolis,Mid-West,Laura,4,Public Charter,"",kmuse@ventureacademies.org,6,9,19,Venture Academy,"",,"",,"",,"",false,"",16,true,55414,1,,
2017-05-01,Venture Prep,70,CO,Denver,Rockies (Colorado),Jared,1,Public Charter,"",equigley@ventureprep.org,9,9,8,Denver Public Schools,"",33,High,92,High,16,High,false,"",43,true,80207,2,,
2017-05-01,Walsh Middle School,170,MA,Framingham,New England,Laura,1,Public District,"",pjohnson@framingham.k12.ma.us,6,6,118,Framingham,"",5,"",43,"",26,High,false,"",123,true,1701,2,,
2017-05-01,Walt Whitman Elementary,74,OK,Tulsa,Oklahoma/Arkansas,Jared,1,Public District,"",rodrija@k12.tulsaschools.org,6,6,43,Tulsa Public Schools,joseph.fraier@tulsaschools.org,2,"",93,High,20,High,false,"",47,true,74106,2,,
2017-05-01,Wellpinit Middle School,77,WA,Wellpinit,Northwest,Angela,3,Public District,"",kherda@wellpinit.org,6,8,56,Wellpinit School District,"",50,Very High,76,High,15,High,false,"",50,true,99040,2,,
2017-05-01,West Broadway Middle School,85,RI,Providence,New England,Laura,1,Public District,"",william.black@ppsd.org,5,5,14,Providence Public Schools,gina.picard@ppsd.org,39,High,89,High,12,"",false,dstone@mayoralacademies.org,57,true,2912,2,,
2017-05-01,West Shores High School,167,CA,Salton City,SoCal/AZ/Central Cal,Arelys,1,Public District,"",richard.pimenetel@cvusd.us,7,7,111,Coachella Valley Unified School District,cvusdplp@cvusd.us,28,High,98,High,12,"",false,"",120,true,92275,2,,
2017-05-01,Westerly PTECH,161,RI,Westerly,New England,Laura,1,Public District,"",kcronin@westerly.k12.ri.us,9,9,110,Westerly,"",,"",,"",,"",false,dstone@mayoralacademies.org,133,true,2891,2,,
2017-05-01,Westwood Elementary,87,TX,Houston,Gulf Region,Susan,1,Public District,"",angelique.moulton@springbranchisd.com,5,5,61,Spring Branch ISD,karen.justl@springbranchisd.com,75,Very High,85,High,8,"",false,"",59,true,77043,2,,
2017-05-01,Woodland Park Middle School,90,CO,Woodland Park,Rockies (Colorado),Jared,2,Public District,"",ygoings@wpsdk12.org,6,7,65,Woodland Park School District,"",3,"",35,"",10,"",false,"",62,true,80863,2,,
2017-05-01,Woonsocket Middle School,172,RI,Woonsocket,New England,Laura,1,Public District,"",mthompson@woonsocketschools.com,8,8,119,Woonsocket,"",9,"",72,High,24,High,false,dstone@mayoralacademies.org,125,true,2895,2,,
2017-05-01,Yu Ming Charter School,94,CA,Oakland,NorCal,Samia,2,Public Charter,"",cpascual@yumingschool.org,5,6,68,Alameda County Office Of Education,"",21,High,6,"",6,"",false,"",64,true,94608,2,,
